0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.010101, -126.9, -78.15, -77.1333, -56.725, -50.1333, -42.3667, -36.2714, -50.85, -40.2222, -44.0923, -41.9727, -36.1111, -44.7788, -41.6357, -41.4933, -39.3125, -36.6152, -33.7222, -36.5395, -32.6625, -33.6346, -29.6023, -30.9348, 0, -26.14, 0, -26.963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.020202, -88.8889, -38.3, -35.3102, -27.725, -23.96, -24.8884, -25.5857, -23.3875, -25.659, -21.68, -19.6, -19.5417, -21.2692, -21.9422, -21.0087, -20.4808, -20.9, -20.4735, -18.6526, -19.09, -19.2839, -19.85, -21.3492, -19.075, -18.628, -18.4846, -20.0741, -19.769, -16.9538, -18.721, -17.3968, -19.5915, -19.4284, -18.0902, -16.8457, -17.8074, -16.795, -17.4072, -16.7274, -16.425, -16.1695, -15.7679, -15.6082, -14.6159, -15.3704, -15.9381, -14.7512, 0, -14.5918, 0, -14.1961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.030303, -24.5, -37.75, -21.2, -18.325, -16.5661, -18.65, -14.3, -15.6625, -15.0812, -16.68, -13.4909, -15.9833, -13.5538, -13.4015, -13.4287, -13.9351, -13.5995, -14.6906, -14.0332, -13.2815, -11.6777, -13.795, -13.0853, -13.2205, -12.604, -12.237, -13.7145, -12.2522, -12.0435, -12.5231, -11.8968, -13.3353, -11.8086, -11.9647, -12.6018, -13.2451, -11.6312, -11.4034, -12.6665, -11.479, -12.8049, -12.0315, -11.8045, -12.2612, -11.2672, -11.9513, -11.5483, -11.3478, -11.8434, -11.3126, -12.0424, -11.8245, -11.2732, -11.5869, -11.4462, -11.6473, -11.6449, -11.3183, -11.4143, -10.5257, -10.6773, -10.8964, -11.3116, -10.8204, -10.6398, -10.3806, -10.2784, -10.3115, -10.3203, -10.1286, -10.0845, -10.0855, -9.9589, 0, 0, -9.71054, -9.32866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.040404, -35.625, -18.2653, -16.2333, -14.8577, -14.72, -11.2167, -11.7615, -11.9288, -10.2667, -10.0961, -12.9636, -11.325, -9.75621, -10.4214, -9.98409, -11.3707, -10.6424, -9.64785, -10.1632, -10.6696, -9.27289, -9.8923, -9.95049, -10.3009, -8.96606, -8.842, -8.83931, -8.87857, -8.65862, -8.41871, -9.29131, -9.79254, -9.91398, -8.81718, -9.17231, -8.65256, -8.9476, -9.22955, -8.76133, -8.65827, -8.50807, -8.67984, -8.93608, -8.81573, -8.52849, -8.81655, -8.38641, -9.04711, -8.37064, -8.67226, -8.38668, -8.60813, -8.66951, -8.65541, -8.72824, -8.29629, -8.56976, -8.40782, -8.19935, -8.50871, -8.47414, -8.37295, -9.07289, -8.63065, -9.15963, -8.72097, -8.42922, -8.15475, -8.48773, -8.24032, -8.40314, -8.74647, -7.94921, -8.40434, -8.42564, -8.6999, -7.94894, -8.46246, -8.41519, -8.38746, -7.65099, -7.918, -8.35786, -8.24988, -8.34358, -8.18243, -8.08399, -7.89593, -8.34131, -7.93818, -7.76415, -7.77899, -7.70587, -7.70185, -7.54554, -7.27764, 0, -7.58925, -7.44055, -6.61307
0.0505051, -12.2222, -10.3, -15.3205, -13.375, -10.74, -11.332, -7.61867, -8.13267, -8.51364, -8.71614, -8.88182, -7.96922, -8.66923, -6.75714, -7.88152, -7.73255, -8.50361, -7.72948, -8.25586, -8.95, -7.58241, -7.29824, -6.92307, -7.87211, -6.66336, -7.742, -7.28632, -7.19038, -7.67665, -6.89076, -6.9397, -7.27979, -7.4634, -7.29773, -6.77032, -6.48226, -6.79168, -7.47848, -7.40467, -6.4873, -6.9347, -6.88057, -6.64168, -6.92255, -6.5429, -6.50232, -7.16939, -6.43921, -7.11821, -6.48307, -6.6926, -6.82795, -7.11422, -7.13471, -7.03384, -6.57702, -6.88039, -6.77559, -6.87531, -6.40025, -6.54447, -6.29168, -6.66275, -6.67271, -6.57372, -6.68539, -6.58159, -6.81784, -6.52193, -6.5957, -6.7391, -6.46898, -6.74896, -6.56735, -6.96153, -6.54574, -6.72627, -6.6561, -6.86358, -6.82567, -6.29921, -6.39624, -6.39052, -6.67195, -6.30587, -6.46529, -6.74164, -6.60416, -6.44199, -6.48384, -6.54818, -6.91052, -6.44383, -6.71685, -6.50005, -6.68204, -6.59704, -6.40698, -6.42914, -6.64453
0.0606061, -19.3, -19.6, -12.4333, -9.03267, -6.94, -8.33845, -7.20438, -7.6151, -7.38889, -6.19, -6.04473, -5.30256, -6.41005, -6.74724, -5.92, -6.4, -6.41537, -7.22948, -6.43846, -6.30653, -5.78387, -5.51643, -5.40605, -5.60301, -6.30329, -5.82475, -5.96267, -6.27114, -5.48109, -5.74742, -5.91041, -5.94013, -5.57972, -5.64749, -5.43494, -6.03625, -5.28627, -5.58562, -5.65699, -6.0273, -5.6937, -5.40146, -5.60518, -5.75034, -5.79606, -5.42139, -5.55429, -5.28172, -5.52291, -5.356, -5.55892, -5.37218, -5.06895, -5.82008, -5.44065, -5.50723, -5.66976, -5.63354, -5.35331, -5.35807, -5.28221, -5.4057, -5.68277, -5.46089, -5.77918, -5.44311, -5.45855, -5.31039, -5.34615, -5.26952, -5.39371, -5.26761, -5.36912, -5.29438, -5.49217, -5.34429, -5.47811, -5.16775, -5.16109, -5.59929, -5.50623, -5.45608, -5.26185, -5.35791, -5.47547, -5.52567, -5.37998, -5.32027, -5.38107, -5.13854, -5.60191, -5.29874, -5.24425, -5.33384, -5.31651, -5.25167, -5.2241, -5.41906, -5.15174, -5.34838
0.0707071, -17.1111, -11.25, -8.14356, -5.925, -7.61841, -7.32178, -5.67143, -7.09517, -7.02904, -6.93614, -6.60279, -5.85256, -5.41775, -5.65658, -4.61023, -4.92884, -5.33483, -4.92393, -4.65586, -5.74307, -5.49293, -5.06247, -5.15618, -4.83172, -5.26491, -4.89733, -4.85831, -5.30329, -4.8435, -4.90172, -5.11265, -4.91946, -5.02883, -4.38981, -5.17267, -4.83177, -4.76901, -4.50878, -5.04905, -4.39537, -4.62176, -4.99632, -4.63684, -4.92214, -4.54136, -4.71371, -4.90048, -4.59738, -4.32683, -4.7303, -4.45459, -4.70872, -4.491, -4.62208, -4.36265, -4.60686, -4.57349, -4.61232, -4.45214, -4.64525, -4.56174, -4.514, -4.35334, -4.64734, -4.62564, -4.89949, -4.54961, -4.54704, -4.40893, -4.4724, -4.39648, -4.46214, -4.58749, -4.65114, -4.53824, -4.27787, -4.51787, -4.55098, -4.57669, -4.68885, -4.44158, -4.62022, -4.56743, -4.23305, -4.47611, -4.5203, -4.36365, -4.53679, -4.65488, -4.44911, -4.16596, -4.52939, -4.19773, -4.19475, -4.5679, -4.37673, -4.5816, -4.30356, -4.36423, -4.38045
0.0808081, -12.7778, -7.05, -8.63333, -7.65, -5.94, -4.70858, -6.30438, -5.4875, -6.12563, -4.92, -6.12097, -4.07096, -4.9479, -4.23515, -4.41333, -4.50384, -4.67373, -4.22563, -4.55482, -4.31564, -4.55823, -4.83006, -4.37322, -4.35021, -4.39814, -4.51123, -4.02754, -4.24834, -4.21106, -3.97984, -3.91265, -3.93484, -4.10342, -4.26561, -3.8512, -4.19422, -4.11822, -4.28702, -4.09959, -3.9673, -3.99155, -4.1644, -4.40679, -3.90367, -3.95498, -3.97339, -4.02372, -4.00047, -3.9295, -3.71307, -3.99501, -4.21567, -3.82216, -4.05753, -3.83118, -4.07382, -3.83549, -3.95237, -3.71534, -3.92883, -3.8427, -3.92204, -4.18042, -3.88184, -3.84501, -3.98341, -3.92527, -4.00878, -3.90356, -3.84259, -3.81758, -3.8257, -3.96876, -3.92594, -3.74061, -3.68184, -4.06683, -3.76862, -3.92034, -3.74958, -3.87132, -3.71187, -4.05502, -3.79867, -3.83797, -3.67172, -3.83345, -3.79693, -3.69633, -3.83128, -4.016, -3.98303, -3.78013, -3.77454, -3.84041, -4.00818, -3.73388, -3.75522, -3.7386, -3.7211
0.0909091, -12.2222, -11.4653, -7.64356, -5.48267, -5.68614, -6.21534, -4.90877, -4.40384, -4.42563, -3.56307, -4.3874, -5.00256, -4.3454, -3.87362, -3.65742, -3.72209, -3.57647, -3.77849, -4.09109, -3.95307, -3.86339, -3.72925, -3.81963, -3.92723, -3.51536, -3.84398, -4.2242, -3.58939, -3.7015, -3.68404, -3.62977, -3.88413, -3.61995, -3.65745, -3.53208, -3.67712, -3.65903, -3.37246, -3.78756, -3.68936, -3.51799, -3.79151, -3.63035, -3.48443, -3.52011, -3.37122, -3.30752, -3.42655, -3.55583, -3.5461, -3.42186, -3.54566, -3.65238, -3.43011, -3.5207, -3.30341, -3.34709, -3.34385, -3.24637, -3.4333, -3.3839, -3.27079, -3.25499, -3.43965, -3.4073, -3.40651, -3.27415, -3.30485, -3.35421, -3.40751, -3.44796, -3.36555, -3.37734, -3.36149, -3.30927, -3.47504, -3.38647, -3.29483, -3.47868, -3.18897, -3.20924, -3.32073, -3.54049, -3.23017, -3.47107, -3.35325, -3.35251, -3.39084, -3.22425, -3.33925, -3.31381, -3.32948, -3.38993, -3.33204, -3.2845, -3.25533, -3.19317, -3.28898, -3.33209, -3.31956
