<<<<<<< HEAD
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
0, -1, -0.653426, -0.537902, -0.48014, -0.445482, -0.422377, -0.645013, -0.393496, -0.383869, -0.376168, -0.369866, -0.42336, -0.360172, -0.397523, -0.368733, -0.424291, -0.360487, -0.345361, -0.343334, -0.34151, -0.39406, -0.33836, -0.650753, -0.335734, -0.747458, -0.396272, -0.332525, -0.690207, -0.330754, -0.384737, -0.329212, -0.335274, -0.563329, -0.667279, -0.326657, -0.326107, -0.33205, -0.325094, -0.397153, -0.324181, -0.365137, -0.323356, -0.346474, -0.322606, -0.322256, -0.359177, -0.321601, -0.388894, -0.351902, -0.35219, -0.3505, -0.352914, -0.327572, -0.319689, -0.319749, -0.31923, -0.347956, -0.322838, -0.342484, -0.355958, -0.734322, -0.457444, -0.317855, -0.336097, -0.317517, -0.340471, -0.317198, -0.339875, -0.351293, -0.316755, -0.357905, -0.31648, -0.596847, -0.346354, -0.356126, -0.315973, -0.438871, -0.389913, -0.315627, -0.414099, -0.31541, -0.477826, -0.315204, -0.500971, -0.390888, -0.357869, -0.859434, -0.314729, -0.334828, -0.314714, -0.43407, -0.43673, -0.34165, -0.464199, -0.333838, -0.352665, -0.313999, -0.484285, -0.313854, -0.841658
0.010101, -1, -0.653426, -0.537902, -0.472468, -0.425099, -0.476349, -0.579651, -0.403154, -0.502759, -0.446411, -0.418353, -0.483029, -0.468423, -0.484876, -0.415585, -0.447801, -0.557195, -0.450939, -0.47798, -0.417385, -0.465924, -0.402993, -0.519441, -0.484582, -0.54407, -0.49042, -0.541932, -0.527617, -0.467578, -0.395488, -0.552529, -0.542548, -0.472401, -0.458484, -0.429016, -0.528109, -0.531602, -0.498729, -0.48124, -0.530378, -0.482746, -0.475207, -0.555855, -0.504589, -0.591986, -0.455139, -0.59476, -0.533455, -0.488509, -0.527572, -0.501657, -0.538378, -0.591698, -0.51257, -0.453664, -0.526824, -0.511437, -0.489853, -0.545407, -0.564672, -0.458673, -0.548109, -0.508243, -0.518438, -0.514265, -0.493229, -0.517638, -0.50326, -0.497089, -0.479974, -0.527815, -0.511921, -0.517676, -0.506752, -0.561161, -0.542601, -0.500285, -0.442274, -0.479355, -0.511123, -0.471918, -0.507777, -0.482011, -0.47159, -0.498726, -0.502814, -0.547265, -0.537658, -0.501896, -0.50517, -0.507942, -0.524047, -0.537807, -0.494165, -0.476004, -0.497553, -0.477737, -0.518034, -0.504981, -0.485864
0.020202, -1, -0.603426, -0.537902, -0.48014, -0.453208, -0.449525, -0.584586, -0.465237, -0.408248, -0.479657, -0.430839, -0.448181, -0.443239, -0.432895, -0.454252, -0.471063, -0.500063, -0.50426, -0.511785, -0.451027, -0.464647, -0.536302, -0.49818, -0.530226, -0.521286, -0.514366, -0.468382, -0.52337, -0.477177, -0.459984, -0.516481, -0.502203, -0.529478, -0.526171, -0.580271, -0.483439, -0.479177, -0.556337, -0.525155, -0.490911, -0.495455, -0.499646, -0.477894, -0.473324, -0.493906, -0.487538, -0.478268, -0.516396, -0.476547, -0.499518, -0.521504, -0.491515, -0.515896, -0.481262, -0.488848, -0.519091, -0.495951, -0.529727, -0.508148, -0.496097, -0.461755, -0.481593, -0.486689, -0.510662, -0.459263, -0.58972, -0.516817, -0.501789, -0.481553, -0.49135, -0.513128, -0.503528, -0.510986, -0.46238, -0.534002, -0.527129, -0.468677, -0.467307, -0.488442, -0.515174, -0.518361, -0.48894, -0.483921, -0.479081, -0.488679, -0.524572, -0.537211, -0.523636, -0.505169, -0.554686, -0.509253, -0.481506, -0.498571, -0.518216, -0.493683, -0.515832, -0.499265, -0.51233, -0.511025, -0.527902
0.030303, -1, -0.638084, -0.54055, -0.45466, -0.485317, -0.443016, -0.592158, -0.47774, -0.47301, -0.489585, -0.511488, -0.455326, -0.493453, -0.486918, -0.447596, -0.536852, -0.484162, -0.455489, -0.478974, -0.480302, -0.470625, -0.473233, -0.471671, -0.479665, -0.534339, -0.472448, -0.514635, -0.513444, -0.523311, -0.495559, -0.525773, -0.502392, -0.456637, -0.490859, -0.497862, -0.492207, -0.475811, -0.471855, -0.529019, -0.522976, -0.508498, -0.503839, -0.45773, -0.487785, -0.524054, -0.478168, -0.500319, -0.427021, -0.475458, -0.511752, -0.539614, -0.466333, -0.476011, -0.494885, -0.518007, -0.50979, -0.500787, -0.508677, -0.493594, -0.486541, -0.507505, -0.486619, -0.47919, -0.477043, -0.462592, -0.499517, -0.529416, -0.494088, -0.505714, -0.531941, -0.474354, -0.469202, -0.477394, -0.49002, -0.469219, -0.518469, -0.463922, -0.505802, -0.522632, -0.507806, -0.517596, -0.493557, -0.490221, -0.489644, -0.469802, -0.524735, -0.494053, -0.49153, -0.4968, -0.477827, -0.496388, -0.500351, -0.493355, -0.489498, -0.498865, -0.524642, -0.505597, -0.47791, -0.495121, -0.478901
0.040404, -1, -0.622741, -0.54055, -0.489797, -0.451454, -0.47124, -0.538162, -0.466419, -0.45638, -0.41665, -0.437441, -0.481858, -0.570626, -0.435281, -0.489651, -0.507575, -0.456032, -0.495347, -0.485064, -0.415478, -0.488766, -0.471544, -0.556765, -0.494829, -0.454066, -0.462832, -0.488105, -0.512141, -0.552681, -0.453095, -0.562241, -0.467464, -0.464993, -0.44327, -0.467757, -0.478535, -0.524873, -0.448561, -0.430612, -0.551777, -0.488169, -0.471755, -0.484414, -0.473388, -0.458554, -0.472306, -0.505592, -0.458532, -0.460737, -0.455215, -0.527854, -0.523086, -0.495146, -0.46199, -0.493516, -0.510211, -0.492435, -0.498493, -0.49844, -0.492293, -0.492612, -0.468994, -0.480087, -0.480866, -0.458398, -0.488388, -0.443616, -0.466363, -0.466246, -0.46996, -0.446496, -0.492207, -0.482358, -0.470518, -0.475598, -0.462921, -0.507511, -0.451583, -0.503786, -0.455334, -0.496258, -0.500654, -0.461803, -0.477012, -0.483104, -0.497711, -0.484914, -0.481662, -0.462256, -0.487159, -0.513019, -0.48132, -0.461614, -0.476775, -0.500796, -0.496584, -0.480282, -0.464635, -0.504126, -0.468045
0.0505051, -1, -0.653426, -0.496988, -0.436852, -0.490552, -0.485116, -0.53097, -0.459815, -0.414824, -0.460523, -0.435183, -0.440309, -0.430158, -0.500766, -0.482643, -0.494529, -0.532265, -0.477623, -0.47275, -0.493638, -0.504387, -0.500666, -0.456005, -0.487182, -0.509487, -0.45984, -0.495812, -0.432986, -0.511311, -0.442601, -0.448497, -0.449895, -0.513366, -0.519618, -0.47198, -0.454952, -0.477735, -0.446526, -0.491509, -0.470599, -0.432144, -0.496535, -0.48802, -0.469966, -0.457813, -0.461548, -0.474895, -0.479299, -0.449621, -0.459996, -0.506276, -0.468053, -0.510289, -0.507644, -0.449607, -0.446864, -0.476421, -0.469323, -0.455586, -0.449153, -0.509959, -0.458221, -0.461182, -0.46863, -0.48857, -0.460143, -0.452387, -0.45594, -0.478473, -0.462431, -0.451053, -0.466609, -0.471705, -0.46872, -0.491967, -0.480245, -0.462903, -0.49782, -0.463238, -0.468393, -0.458426, -0.497, -0.458324, -0.491694, -0.456098, -0.447343, -0.459411, -0.498283, -0.463757, -0.482785, -0.453247, -0.450196, -0.449216, -0.476063, -0.502358, -0.48196, -0.470998, -0.490169, -0.461781, -0.463793
0.0606061, -1, -0.557398, -0.509865, -0.498496, -0.475619, -0.477673, -0.486208, -0.538794, -0.522413, -0.457797, -0.451736, -0.428022, -0.470858, -0.425038, -0.405191, -0.45029, -0.501292, -0.398715, -0.429078, -0.452421, -0.449645, -0.546551, -0.53203, -0.509337, -0.415007, -0.43476, -0.500843, -0.443503, -0.490122, -0.461964, -0.463947, -0.433301, -0.43032, -0.495442, -0.436792, -0.425025, -0.446978, -0.488348, -0.442713, -0.480881, -0.477486, -0.48511, -0.430646, -0.508326, -0.456233, -0.492492, -0.406734, -0.45134, -0.463068, -0.45535, -0.458135, -0.434276, -0.496053, -0.443492, -0.447989, -0.466243, -0.469661, -0.419812, -0.454447, -0.478343, -0.428414, -0.463662, -0.472218, -0.444606, -0.460226, -0.466262, -0.484612, -0.466059, -0.497269, -0.481075, -0.420548, -0.431745, -0.42907, -0.45785, -0.46142, -0.449779, -0.449214, -0.435705, -0.463689, -0.460854, -0.469801, -0.459541, -0.456841, -0.463359, -0.477986, -0.462144, -0.457166, -0.460703, -0.431966, -0.448041, -0.468757, -0.477982, -0.438512, -0.464172, -0.456084, -0.450643, -0.451021, -0.461575, -0.454935, -0.444926
0.0707071, -1, -0.653426, -0.496988, -0.445755, -0.541152, -0.419073, -0.496306, -0.506955, -0.421051, -0.515274, -0.399239, -0.457629, -0.400489, -0.472243, -0.39779, -0.498174, -0.489994, -0.451745, -0.505731, -0.462868, -0.449499, -0.425779, -0.500306, -0.475464, -0.417929, -0.468449, -0.476552, -0.417741, -0.475356, -0.436198, -0.423301, -0.425191, -0.464345, -0.438883, -0.484727, -0.428716, -0.463795, -0.47394, -0.441593, -0.444879, -0.464112, -0.438814, -0.422361, -0.409977, -0.429861, -0.482923, -0.444935, -0.442066, -0.455202, -0.443533, -0.480364, -0.450815, -0.429435, -0.445924, -0.472809, -0.443552, -0.43513, -0.43337, -0.443115, -0.459482, -0.456816, -0.450826, -0.44897, -0.460529, -0.422809, -0.454731, -0.426802, -0.437946, -0.479514, -0.452774, -0.439977, -0.424902, -0.453051, -0.41315, -0.434257, -0.466902, -0.417886, -0.457476, -0.442616, -0.44336, -0.452621, -0.44559, -0.403926, -0.433433, -0.460351, -0.428793, -0.457846, -0.431379, -0.443277, -0.464471, -0.431352, -0.417283, -0.422653, -0.410933, -0.436187, -0.421354, -0.444025, -0.459433, -0.450927, -0.457027
0.0808081, -1, -0.588084, -0.476531, -0.386098, -0.505323, -0.418032, -0.548491, -0.472949, -0.444818, -0.415359, -0.427467, -0.436, -0.381684, -0.437647, -0.378981, -0.427689, -0.448303, -0.393033, -0.455864, -0.468864, -0.432956, -0.497996, -0.397479, -0.48409, -0.417073, -0.424247, -0.425265, -0.430813, -0.412907, -0.413598, -0.441142, -0.449947, -0.462736, -0.373712, -0.441064, -0.414068, -0.435681, -0.445367, -0.412879, -0.420963, -0.443773, -0.461197, -0.439768, -0.424831, -0.42698, -0.429016, -0.442857, -0.465518, -0.419521, -0.424471, -0.460198, -0.382616, -0.448419, -0.39473, -0.432193, -0.410757, -0.40233, -0.431076, -0.460982, -0.431613, -0.429478, -0.441022, -0.455469, -0.455674, -0.444953, -0.466937, -0.452529, -0.407623, -0.433634, -0.424685, -0.453857, -0.408672, -0.424939, -0.41924, -0.430283, -0.437026, -0.434586, -0.418985, -0.427113, -0.432193, -0.416288, -0.444568, -0.451788, -0.452722, -0.402644, -0.409706, -0.429636, -0.418085, -0.45211, -0.434627, -0.425378, -0.432445, -0.429774, -0.415374, -0.447471, -0.430283, -0.432601, -0.435341, -0.40638, -0.431479
0.0909091, -1, -0.638084, -0.450778, -0.441311, -0.448277, -0.372676, -0.50197, -0.44665, -0.490928, -0.382649, -0.406908, -0.431743, -0.410775, -0.432507, -0.397681, -0.437146, -0.445493, -0.414997, -0.409377, -0.41741, -0.436055, -0.445894, -0.429234, -0.392473, -0.432129, -0.364786, -0.486381, -0.401924, -0.407544, -0.393114, -0.406302, -0.444463, -0.415999, -0.374851, -0.425892, -0.40957, -0.436307, -0.448942, -0.410883, -0.423154, -0.431695, -0.414146, -0.439646, -0.381598, -0.420295, -0.407642, -0.411436, -0.456629, -0.440396, -0.420277, -0.421077, -0.395707, -0.440118, -0.413928, -0.447024, -0.434107, -0.389746, -0.390994, -0.423312, -0.409253, -0.412787, -0.402231, -0.452032, -0.377754, -0.431442, -0.409329, -0.443487, -0.439604, -0.38766, -0.416966, -0.430285, -0.395026, -0.410432, -0.422048, -0.415206, -0.406268, -0.427536, -0.404749, -0.428226, -0.431739, -0.408489, -0.424921, -0.412005, -0.424599, -0.411149, -0.410872, -0.447799, -0.40392, -0.41539, -0.418971, -0.403218, -0.419049, -0.435066, -0.41391, -0.420455, -0.407714, -0.397663, -0.418909, -0.404337, -0.391746
